iter	Passed	Remaining
0	134	13293
1	217	10651
2	300	9711
3	387	9299
4	474	9020
5	563	8825
6	654	8693
7	742	8535
8	833	8432
9	923	8308
10	1003	8115
11	1083	7947
12	1173	7851
13	1254	7703
14	1325	7510
15	1416	7436
16	1508	7363
17	1592	7255
18	1678	7155
19	1764	7057
20	1841	6926
21	1926	6831
22	2007	6719
23	2097	6642
24	2184	6552
25	2279	6487
26	2369	6407
27	2452	6306
28	2538	6215
29	2628	6133
30	2712	6037
31	2803	5957
32	2892	5872
33	2982	5789
34	3055	5674
35	3139	5582
36	3221	5485
37	3313	5406
38	3398	5316
39	3484	5226
40	3580	5152
41	3669	5066
42	3756	4979
43	3839	4886
44	3935	4809
45	4005	4702
46	4090	4612
47	4168	4516
48	4248	4421
49	4332	4332
50	4415	4242
51	4503	4156
52	4593	4073
53	4679	3986
54	4762	3896
55	4846	3808
56	4931	3720
57	5015	3631
58	5103	3546
59	5177	3451
60	5270	3369
61	5360	3285
62	5451	3201
63	5532	3111
64	5617	3024
65	5704	2938
66	5782	2848
67	5871	2762
68	5953	2674
69	6041	2589
70	6128	2503
71	6208	2414
72	6288	2325
73	6376	2240
74	6466	2155
75	6537	2064
76	6626	1979
77	6707	1891
78	6798	1807
79	6889	1722
80	6972	1635
81	7061	1550
82	7152	1465
83	7233	1377
84	7314	1290
85	7404	1205
86	7494	1119
87	7570	1032
88	7653	945
89	7743	860
90	7834	774
91	7931	689
92	8018	603
93	8101	517
94	8186	430
95	8272	344
96	8365	258
97	8449	172
98	8538	86
99	8621	0
